brandName,prodName,content,onlineProdSn
라네즈,립 슬리핑 마스크 EX 20g,"라네즈 립 슬리핑 마스크 EX 베리 + 사은품 후기

이번이 처음이 아니에요. 이전에도 라네즈 립 슬리핑 마스크 EX 베리 미니 사이즈를 사용해본 적이 있고, 만족스러워서 이번엔 정품(20g)을 구매했어요. 입술 보습에 탁월하고 각질 제거 효과도 좋아요. 첫날만 써도 차이를 느낄 수 있을 정도예요. 제형은 부드럽고 끈적이지 않아서 사용감이 좋고, 스패출러 덕분에 위생적으로 쓸 수 있어요.

주문한 건 립 마스크 하나뿐이었는데, 다양한 사은품이 함께 왔어요.

받은 사은품:
 • 워터 슬리핑 마스크_EX (파랑)
 • 시카 슬리핑 마스크 (초록)
 • 바운시 & 펌 슬리핑 마스크 (핑크)
 • 립 슬리핑 마스크 베리 미니 사이즈
 • 워터뱅크 샘플 3종:
• UV 베리어 선크림 SPF 50+
• 블루 히알루로닉 젤 크림
• 블루 히알루로닉 모이스처 크림

사은품 구성도 훌륭해서 다양한 제품을 체험할 수 있었고, 앞으로도 계속 라네즈 제품을 사용하고 싶어졌어요.

평점: 5점 만점에 5점.",20978
라네즈,립 슬리핑 마스크 EX 20g,"라네즈 립 슬리핑 마스크 EX 자몽은 그 어떤 립 케어 제품보다 만족스러 운 경험을 선사해준 제품입니다. 이 제품을 처음 사용해본 이후, 매일 밤 자기 전에 꼭 바르고 자는 습관이 생길 정도로 그 효과가 정말 뛰어났습니 다. 특히 자몽 향이 은은하게 퍼져 기분까지 좋게 만들어 주었고, 립 마스 크의 질감도 부드럽고 풍부해서 바르는 순간 입술에 촉촉함을 더해주었습 니다.
먼저, 이 립 슬리핑 마스크의 가장 큰 장점은 보습력입니다. 자고 일어났 을 때 입술이 촉촉하고 부드럽게 유지되어 있어, 하루 종일 입술이 건조하 지 않다는 점이 좋았습니다. 특히 겨울철처럼 입술이 쉽게 트고 갈라지기 쉬운 시즌에 사용하면 더욱 효과적이었어요. 잠자기 전에 바르고 자면 아 침에 일어나서도 입술이 맑고 촉촉하게 유지되는 효과가 있어, 립밤을 덧 바르지 않아도 될 정도였습니다.",20978
라네즈,립 슬리핑 마스크 EX 20g,"한달 사용해본 결과
전 아토피에 구순염도 입술관리 잘못하면
계속 생기는 민감한 입술인데 
딱 저녁에 케어용으로 바르기 좋았어요
제가 유*쥬아 등등 많은 립밤을 써봤는데
이렇게 자극 없는 립밤은 처음이에요
물론 구순염이나 아토피 증상이 올라올때
치료해주진 못하지만 약이랑 같이
발라주면 건조함이 없어지니깐 확실히
시너지 효과가 있더라고요!!
샘플로 받은것두 학원이나 독서실에서 꾸준히 발라주니깐 너무 좋더라구요💗🥲
다른 라네즈 립제품과 비교하자면!!
제가 라네즈 립트리트먼트도 써봐서 아는데 트리트먼트가 확실히 더 영양분이 공급되는 느낌은 있지만
화장하기 전에 바르면 각질이 불려져서 닦구
립제품 발라도 계속 각질이 올라왔거등여 ㅋㅋㅋ
근데 이건 확실히 차분하게 눌러주는 느낌이 강한거 같아서 메이크업 전 단계에 적합한것 같아요!!",20978
라네즈,립 슬리핑 마스크 EX 20g,"메이크업전
잠자기전
일상에서 건조할때 수시로 발라주기!",20978
라네즈,립 슬리핑 마스크 EX 20g,"예전에 되게 좋다는 후기를 들었던 적이 있어서 구매했어요! 요즘은 립 케어로 슈거 스크럽 제형을 많이 사용하시던데, 저는 입술 상태가 많이 안 좋기 때문에😭 최대한 자극을 덜 주고 싶어서 밤 타입의 해당 제품을 구매했습니다. 

 확실히 자고 일어나서 각질이 불어나는 듯한 효과가 있습니다! 얇게 바르는 것 보다 두툼하게 얹었을 때 더 잘 나타나는 듯 해요. 저는 집에 있는 시간이 많아 아침에 닦아낸 후, 다시 립밤처럼 얹어놓고 생활했습니다. 또 향에 민감한 편이라 베리향이라고 해서 걱정했는데 확실히 인공적인 향이 아니라 거부감 없이 사용할 수 있었어요.

그래도 스크럽이 아니라 립 마스크이기 때문에 드라마틱한 각질 제거 효과는 기대하기 어려워요. 각질 제거보다는 진정이나 케어를 위해 구매하면 좋은 제품입니다 ☺️",20978
라네즈,립 슬리핑 마스크 EX 20g,"해당 제품을 바르고 아침에 일어난 후, 키친타올처럼 까끌한 티슈로 닦아주면 좋아요!",20978
라네즈,립 슬리핑 마스크 EX 20g,"빠른 배송과 꼼꼼한 포장 넘~ 맘에 들구요~ 5번째 재구매인데 여전히 좋네요~ 은은하게 딸기같은 베리 향이 나서 바를 때 기분이 좋습니다. 자기 전에 바르면 별다른 관리를 안해도 입술이 하루종일 건조하지 않아요. 너무 좋아요 ~^^

여성 청결제가 최고예요! 저는 젤타입보다 버블타입이 훨씬 좋더라구요~^^양이 넉넉해서 오래 사용할수 있을것 같아요 자극없으니까 너무 좋네요 또 구매할게요~^^

쿨애쉬 색상이 가볍고 자연스럽고 차분하면서도 세련된 느낌을 줘서 참 맘에 듭니다.
가격대비 색도 예쁘고 정말.. 저같은 직장인 살려주시는 대기업입니다 넘 좋아용~♡♡♡",20978
라네즈,립 슬리핑 마스크 EX 20g,"입술이 건조한 편이지만 유분이 있는 것이 싫어 매트한 립스틱을 바르는 것을 좋아한다 그러다 보니 가뜩이나 건조한 입술은 촉촉해질 날이 없는데 오래전에 지인분이 쓰고 있다며 받은 사은품 줘 써보았는데
촉촉함 속에 은은한 향 좋았고 아침에 한결부드러운 입술에 반했다 수시로 바르고 싶어 파우치에 담아 갔고 다니다 파우치 잃어버린 바람에 분홍색 작은 케이스란 립밤만 기억하고 있었는데 아모레 몰 쇼핑투어하다 발견하여 바로 구입 얼마나 기뻣는지 두둑한 사은품까지 요즘 매일 매일 바른 후 갈라지고 각질까지 얼어나는 입술이 매끈 매끈 겨울인데 말이죠~!! 강력 추천",20978
라네즈,립 슬리핑 마스크 EX 20g,베리가 달달한향이라 자기전에바르기 좀그래서 자몽으로샀어요 향이 좋아요 상큼하고 적당한향이예요 평소에 한율립밤쓰고있어요 만족하고쓰고있지만 각질이 생기는건 어쩔수없더라구요 리뷰보고 고민하다 샀어요 할인해서 사도15000원이면 립밤치고 가격이좀 있어요용량은 많아요 그러나 기대가큰탓인가 저는좀별로였어요 일단 찐득찐득해요 몸부림치는스탈인데 이리저리 다 뭍어요 다음날도 끈적하고 무엇보다 잘안씻겨요 아침에 약산성폼쓰는데 안지워짐..그리고 각질은고대로고 립밤보다 쓰기 번거롭고..저는 다시구매하진않을거같아용ㅠ,20978
라네즈,립 슬리핑 마스크 EX 20g,어머니가 입술이 건조해서 자꾸 튼다고 하셔서 라네즈 립슬리핑 마스크 사봤어요! 어머니가 상큼한향이 좋다고 하셔서 자몽으로 선택했어요. 개인적으로 자몽 향보다는 츄파춥스 오렌지 향에 가깝다고 느꼈어요. 제공되는 스파츌라로 조금만 떠서 발라도 도톰하게 잘 올라와요. 고체 상태로 굳어 있던 게 입술 온도에 녹아내리는 게 은근 재밌네요ㅋㅋ 케이크에 생크림 바르는 것처럼 입술에 올리고 있으니까 뭔가 힐링 돼요👍🏻 찐득찐득하지 않고 오일리 한 제형인데 너무 오일리 하지 않고 촉촉한 제형이에요! 어머니 선물 드리려고 산 건데 제가 써보고 너무 탐 나서 저도 원래 쓰던 립밤 다 쓰면 살려고요ㅎㅎ,20978
